    Mjd              err        Mag         err-         err+       LimitMag Filter imagename
    57543.409650     0.02083    13.98900    -0.06059     0.06059    16.56771 CLEAR data/J1555+1111_20160604_094954_Jun64kmf_kait_clear_c.fit
    57546.396640     0.02083    14.04200    -0.01533     0.01533    20.03705 CLEAR data/J1555+1111_20160607_093110_Jun67kdo_kait_clear_c.fit
    57549.399490     0.02083    14.05300    -0.00851     0.00851    19.87696 CLEAR data/J1555+1111_20160610_093516_Jun6akfk_kait_clear_c.fit
    57552.387930     0.02083    13.98000    -0.01129     0.01129    19.76287 CLEAR data/J1555+1111_20160613_091837_Jun6djxu_kait_clear_c.fit
    57561.351120     0.02083    14.08700    -0.00877     0.00877    19.33546 CLEAR data/J1555+1111_20160622_082537_Jun6mizh_kait_clear_c.fit
    57565.348760     0.02083    13.93800    -0.00828     0.00828    19.67643 CLEAR data/J1555+1111_20160626_082213_Jun6qixs_kait_clear_c.fit
    57568.342370     0.02083    13.92300    -0.00839     0.00839    19.86696 CLEAR data/J1555+1111_20160629_081301_Jun6titm_kait_clear_c.fit
    57571.307190     0.02083    13.88500    -0.00824     0.00824    19.69357 CLEAR data/J1555+1111_20160702_072221_Jul62hwc_kait_clear_c.fit
    57574.300100     0.02083    13.85800    -0.00828     0.00828    20.10225 CLEAR data/J1555+1111_20160705_071209_Jul65hrj_kait_clear_c.fit
    57579.260890     0.02083    13.93900    -0.00753     0.00753    19.72880 CLEAR data/J1555+1111_20160710_061541_Jul6agri_kait_clear_c.fit
    57796.535940     0.00486    13.59600    -0.01971     0.01971    17.68367 CLEAR data/J1555+1111_20170212_125145_Feb7cnsd_kait_clear_c.fit
    57824.527160     0.00556    13.95200    -0.01339     0.01339    18.60260 CLEAR data/J1555+1111_20170312_123907_Mar7cnmg_kait_clear_c.fit
    57862.518950     0.02083    13.81500    -0.00877     0.00877    18.64214 CLEAR data/J1555+1111_20170419_122717_Apr7jngv_kait_clear_c.fit
    57878.512410     0.02083    13.83800    -0.04045     0.04045    16.91714 CLEAR data/J1555+1111_20170505_121752_May75ncn_kait_clear_c.fit
    57935.292960     0.02083    13.62400    -0.00825     0.00825    19.69955 CLEAR data/J1555+1111_20170701_070152_Jul71hmq_kait_clear_c.fit
    57970.260280     0.02083    13.65700    -0.01225     0.01225    18.70413 CLEAR data/J1555+1111_20170805_061448_Aug75gqx_kait_clear_c.fit
    58206.548410     0.02083    13.73400    -0.01480     0.01480    18.08706 CLEAR data/J1555+1111_20180329_130943_Mar8toal_kait_clear_c.fit
    58221.530420     0.02083    13.65200    -0.01117     0.01117    18.92857 CLEAR data/J1555+1111_20180413_124348_Apr8dnom_kait_clear_c.fit
    58229.519210     0.02083    13.63900    -0.01417     0.01417    19.13336 CLEAR data/J1555+1111_20180421_122740_Apr8lnha_kait_clear_c.fit
    58230.517290     0.02083    13.64500    -0.01815     0.01815    19.24657 CLEAR data/J1555+1111_20180422_122454_Apr8mnfs_kait_clear_c.fit
    58231.517810     0.02083    13.67800    -0.01216     0.01216    18.73445 CLEAR data/J1555+1111_20180423_122539_Apr8nngc_kait_clear_c.fit
